code;lieu;sexe;att1;att2;att3;att4;att5;rep1;rep2;rep3;rep4;rep5
001;UPC;femme;DEU;ESP;NLD;ITA;GBR;ISR;ARE;USA;RUS;BLR
002;UPC;femme;ITA;NLD;THA;MAR;CAN;NGA;AFG;IRQ;IND;
003;UPC;femme;CHN;SGP;MYS;;;RUS;MEX;USA;JPN;ARE
004;UPC;femme;ESP;LUX;GBR;;;ARE;ARG;USA;;
005;UPC;femme;DEU;GBR;MCO;CAN;ITA;USA;ISR;;;
006;UPC;homme;USA;ITA;CAN;TUN;;TUR;ISR;NGA;CHN;PAK
007;UPC;homme;DEU;SWE;IRL;JPN;CAN;ISR;USA;ARE;RUS;
008;UPC;femme;ARG;ESP;NOR;CAN;CHL;CHN;AFG;ISR;SDN;ARE
009;UPC;homme;ESP;BRA;CAN;CHE;AUS;IND;RUS;CHN;ISR;GEO
010;UPC;femme;CAN;CHE;CIV;USA;;PRK;NGA;;;
011;UPC;femme;NLD;CIV;ZAF;USA;THA;NGA;AFG;IRQ;RUS;ARG
012;UPC;femme;REU;ITA;ESP;BRA;CAN;SDN;IRN;CHN;ISR;RUS
013;UPC;femme;PYF;PER;ITA;LKA;AUS;CHN;RUS;IRN;ISR;USA
014;UPC;femme;ESP;ITA;MEX;CRI;;ISR;AUS;QAT;USA;ARE
015;UPC;homme;BEL;ITA;;;;BGD;IND;ISR;SAU;QAT
016;UPC;homme;CRI;BWA;FRA;JPN;CHE;AFG;TKM;SYR;MDA;SSD
017;UPC;homme;CHN;HKG;SGP;RUS;SLV;USA;SAU;ARE;LBY;EGY
018;UPC;homme;ESP;BGR;DEU;MAR;CHN;AFG;USA;RUS;PRK;KOR
019;UPC;femme;CHE;CAN;JPN;CHN;SGP;IND;ISR;USA;GBR;
020;UPC;homme;VNM;ISL;SEN;THA;ITA;PHL;RUS;TUR;AFG;DEU
021;UPC;homme;ESP;ITA;DEU;;;AFG;PSE;YEM;SDN;
022;UPC;homme;ITA;GRC;URY;SWE;MAR;SDN;DEU;GBR;ARE;USA
023;UPC;femme;ITA;ESP;USA;ARG;;AUS;RUS;DEU;;
024;UPC;femme;IRL;ITA;EGY;OMN;SWE;AFG;BRA;UKR;SDN;COD
