code;lieu;sexe;att1;att2;att3;att4;att5;rep1;rep2;rep3;rep4;rep5
E001;UPC;femme;DEU;ESP;NLD;ITA;GBR;ISR;ARE;USA;RUS;BLR
E002;UPC;femme;ITA;NLD;THA;MAR;CAN;NGA;AFG;IRQ;IND;
E003;UPC;femme;CHN;SGP;MYS;;;RUS;MEX;USA;JPN;ARE
E006;UPC;homme;USA;ITA;CAN;TUN;;TUR;ISR;NGA;CHN;PAK
E007;UPC;homme;DEU;SWE;IRL;JPN;CAN;ISR;USA;ARE;RUS;
E008;UPC;femme;ARG;ESP;NOR;CAN;CHL;CHN;AFG;ISR;SDN;ARE
E009;UPC;homme;ESP;BRA;CAN;CHE;AUS;IND;RUS;CHN;ISR;GEO
E011;UPC;femme;NLD;CIV;ZAF;USA;THA;NGA;AFG;IRQ;RUS;ARG
E012;UPC;femme;REU;ITA;ESP;BRA;CAN;SDN;IRN;CHN;ISR;RUS
E013;UPC;femme;PYF;PER;ITA;LKA;AUS;CHN;RUS;IRN;ISR;USA
E014;UPC;femme;ESP;ITA;MEX;CRI;;ISR;AUS;QAT;USA;ARE
E016;UPC;homme;CRI;BWA;FRA;JPN;CHE;AFG;TKM;SYR;MDA;SSD
E017;UPC;homme;CHN;HKG;SGP;RUS;SLV;USA;SAU;ARE;LBY;EGY
E018;UPC;homme;ESP;BGR;DEU;MAR;CHN;AFG;USA;RUS;PRK;KOR
E019;UPC;femme;CHE;CAN;JPN;CHN;SGP;IND;ISR;USA;GBR;
E020;UPC;homme;VNM;ISL;SEN;THA;ITA;PHL;RUS;TUR;AFG;DEU
E022;UPC;homme;ITA;GRC;URY;SWE;MAR;SDN;DEU;GBR;ARE;USA
E024;UPC;femme;IRL;ITA;EGY;OMN;SWE;AFG;BRA;UKR;SDN;COD
E025;UPC;femme;JPN;ESP;MTQ;KOR;;ISR;IND;RUS;USA;GBR
E028;UPC;homme;FRA;JPN;USA;BEL;CHE;IRQ;PRK;AFG;KWT;SOM
E029;UPC;femme;CAN;ISL;FIN;NOR;ESP;AFG;DZA;ITA;IND;CUB
E030;UPC;femme;GBR;CHE;MDV;BEN;SAU;PSE;IRN;NER;AFG;RUS
E031;UPC;homme;FIN;THA;JPN;CHN;NOR;RUS;USA;GBR;ZAF;IND
E032;UPC;homme;LIE;ESP;AUT;MEX;AND;ARE;AFG;MCO;SGP;QAT
E033;UPC;homme;NOR;SVN;PRT;CAN;LUX;SDN;OMN;IRN;PRK;COD
E034;UPC;homme;ITA;CHN;JPN;KOR;NOR;COL;CHN;SAU;SSD;IND
E035;UPC;femme;DEU;FRA;CAN;GBR;JPN;IRN;KWT;NGA;LBN;IND
E036;UPC;femme;ARM;USA;ITA;CHE;GBR;COL;PRK;AFG;COD;AZE
E037;UPC;femme;GBR;USA;CAN;ITA;CMR;IND;LBY;PAK;DZA;SDN
E038;UPC;homme;CHE;GBR;BEL;ITA;NLD;UKR;RUS;USA;CHN;IRN
E039;UPC;homme;ESP;CHE;NOR;NLD;ITA;IRN;ARE;SOM;RUS;PRK
E040;UPC;homme;PER;ARG;CHE;NPL;ITA;IRN;ISR;CHN;SOM;USA
E041;UPC;homme;GRC;ITA;ESP;PRT;JPN;ISR;PRK;IND;RUS;
E042;UPC;homme;ESP;JPN;THA;BRA;PRT;RUS;PRK;BLR;IRN;ISR
E043;UPC;femme;FIN;BEL;JPN;ITA;ISL;IRN;ISR;LBY;GTM;USA
E044;UPC;femme;ITA;BEL;ESP;;;UKR;AFG;IRN;RUS;USA
E045;UPC;femme;ITA;ESP;JPN;KOR;;AFG;IRN;PRK;PSE;ISR
E046;UPC;homme;ESP;PRT;CHE;ITA;TUR;AFG;PRK;TCD;SDN;YEM
E047;UPC;homme;TUR;ITA;ESP;CHE;;ISR;IRN;SRB;POL;RUS
