pseudo;master;univ;sex;LIK1;LIK2;LIK3;LIK4;LIK5;UNL1;UNL2;UNL3;UNL4;UNL5
AAA;Carthageo;UPC;h;ITA;JPN;AUS;HRV;CAN;IRN;RUS;BLR;UKR;SAU
COUCOU;Carthageo;UP1;h;FRA;BEL;CHE;AUS;CAN;ISR;SDN;IND;AFG;USA
LUCSPY;Carthageo;UPC;h;CHE;CAN;JPN;FRA;;CHN;IRN;ISR;DZA;MAR
SJ9898;Géoprisme;UP1;f;CHN;FRA;GBR;JPN;TWN;NPL;COG;YEM;ZWE;AGO
COME;;UP1;h;ITA;CUB;NLD;PRT;CHE;AFG;PRK;BLR;RUS;IRQ
ENEXTO;Carthageo;UPC;h;FRA;CAN;USA;GBR;DEU;AFG;ISR;PSE;SYR;YEM
YUTYUT;Géoprisme;UP1;h;CAN;ESP;GRC;FRA;ITA;SAU;SLV;ARG;AFG;USA
R;Géoprisme;UP1;f;ESP;FRA;GBR;CAN;BEL;SAU;USA;ISR;HND;AFG
SIMCA;Carthageo;UP1;h;FRA;CAN;JPN;MCO;VAT;AFG;IRN;SSD;SDN;PRY
LDLD05;Carthageo;UP1;h;DEU;NLD;GBR;MUS;SWE;SAU;CHN;NGA;USA;TCD
SPAM;Carthageo;UPC;h;ITA;DNK;CAN;AUT;;AFG;IRQ;SYR;MYS;
AAAAAA;Géoprisme;UPC;f;FRA;ISR;ITA;AUT;GEO;DEU;ARG;IRQ;AFG;YEM
MANGUE;Géoprisme;UP1;f;ITA;GBR;CAN;CHE;DEU;USA;CHN;AFG;SYR;NGA
123;Carthageo;UP1;f;FRA;ESP;GBR;ITA;CAN;ISR;RUS;AFG;CHN;PRK
LEG47;Géoprisme;UPC;h;FRA;IRL;ESP;CHE;GBR;PRK;SYR;SDN;MLI;IRN
CEFA02;Géoprisme;UP1;f;DEU;ESP;CHE;AUT;GRC;USA;ISR;AFG;BLR;MCO
LAPPAL;;UP1;h;FRA;EGY;DEU;DZA;;SAU;USA;ARE;ISR;PRK
MANGER;Géoprisme;UPC;f;FRA;IRL;BRA;CAN;THA;USA;PRK;RUS;ISR;IRQ
RATP06;Géoprisme;UP1;h;FRA;GBR;DEU;CAN;NLD;ITA;ESP;ARE;IRN;NER
BAM;Carthageo;UP1;h;ISL;CAN;NOR;CHE;NZL;MMR;SLV;BGD;PRK;AFG
COCO27;Géoprisme;UPC;f;FRA;LUX;GBR;BEL;;USA;RUS;ISR;CHE;BRA
MDRR67;Géoprisme;UP1;h;FRA;BEL;CHE;ITA;ESP;AFG;RUS;SYR;PRK;ISR
OPTIMP;Géoprisme;UPC;f;KAZ;MYS;TUR;FJI;;GRL;ZAF;CAN;PRK;
L;Géoprisme;UP1;f;DNK;AUS;MTQ;CHE;VNM;USA;ISR;AFG;ARE;SSD
ZOZOZO;Carthageo;UPC;h;FRA;ITA;BEL;CHE;GBR;PRK;RUS;ISR;USA;TCD
ABC17;Géoprisme;UP1;f;FRA;TUN;BEL;LUX;PSE;ISR;BGD;BRA;HTI;VEN
MOI1;Carthageo;UP1;f;FRA;GBR;NLD;AUS;NZL;BGD;QAT;AFG;SLV;SOM
LIA;Géoprisme;UP1;;FRA;CAN;GBR;ESP;DZA;USA;PRK;AUS;ISR;BLR
TOTO53;Géoprisme;UP1;h;FRA;IRL;DEU;ITA;ESP;JPN;RUS;USA;ARE;YEM
MG2005;Géoprisme;UP1;h;GRC;DEU;ESP;BEL;NOR;ERI;RUS;IRN;AFG;ARE
PAUL11;Carthageo;UP1;h;GBR;DEU;IRL;ESP;;USA;ARE;RUS;AFG;PRK
ETU1;Carthageo;UP1;h;ESP;GBR;ARG;ITA;CAN;RUS;PRK;AFG;IND;ARE
NB1306;Géoprisme;UP1;;NLD;SWE;GBR;PRT;ESP;USA;RUS;AFG;AUS;LBY
